Date,Open,High,Low,Close,Adj Close,Volume
5/13/2019,122.629997,122.849998,122.330002,122.669998,122.669998,11130900
5/14/2019,122.599998,122.660004,122.120003,122.459999,122.459999,5556000
5/15/2019,122.709999,122.769997,122.220001,122.389999,122.389999,10299000
5/16/2019,122.029999,122.07,121.190002,121.510002,121.510002,6349400
5/17/2019,121.029999,121.059998,120.330002,120.650002,120.650002,6589300
5/20/2019,120.510002,120.739998,120.419998,120.639999,120.639999,4345800
5/21/2019,120.080002,120.360001,119.830002,120.360001,120.360001,3845600
5/22/2019,120.349998,120.5,120.190002,120.239998,120.239998,3741800
5/23/2019,120.82,121.519997,120.769997,121.169998,121.169998,6054600
5/24/2019,121.129997,121.309998,120.889999,121.300003,121.300003,2324700
5/28/2019,120.800003,120.839996,120.459999,120.830002,120.830002,4303500
5/29/2019,121.110001,121.260002,120.75,120.870003,120.870003,4133200
5/30/2019,120.959999,121.690002,120.800003,121.690002,121.690002,7757000
5/31/2019,122.550003,123.400002,122.32,123.330002,123.330002,15367000
6/3/2019,124.089996,125.339996,123.900002,125.110001,125.110001,14173600
6/4/2019,124.879997,125.419998,124.610001,125.150002,125.150002,7997100
6/5/2019,126.18,126.370003,125.239998,125.470001,125.470001,7637900
6/6/2019,125.93,126.449997,125.800003,125.879997,125.879997,5551800
6/7/2019,126.790001,127.25,126.32,126.589996,126.589996,8145900
6/10/2019,125.459999,125.529999,125.07,125.330002,125.330002,5410000
6/11/2019,124.940002,125.400002,124.879997,125.18,125.18,4757800
6/12/2019,125.599998,126.199997,125.559998,125.830002,125.830002,5756200
6/13/2019,126.029999,126.769997,125.959999,126.599998,126.599998,5374800
6/14/2019,127.209999,127.629997,126.260002,126.559998,126.559998,9226100
6/17/2019,126.699997,126.769997,126.169998,126.480003,126.480003,4763300
6/18/2019,127.580002,127.75,126.389999,127.120003,127.120003,10309600
6/19/2019,126.769997,127.989998,126.699997,127.889999,127.889999,11660600
6/20/2019,130.410004,131.490005,130.190002,131.110001,131.110001,18636300
6/21/2019,131.770004,132.169998,131.070007,131.979996,131.979996,15068000
6/24/2019,132.770004,134.039993,132.580002,133.940002,133.940002,17851800
6/25/2019,134.899994,135.550003,133.210007,134.199997,134.199997,24772200
6/26/2019,132.990005,133.550003,132.410004,132.970001,132.970001,12016400
6/27/2019,132.380005,132.970001,132.259995,132.839996,132.839996,8412800
6/28/2019,133.050003,133.339996,132.610001,133.199997,133.199997,8077000
7/1/2019,131.559998,131.759995,130.550003,130.619995,130.619995,13317700
7/2/2019,131.270004,133.630005,131.160004,133.410004,133.410004,13282100
7/3/2019,133.610001,134.100006,133.229996,133.630005,133.630005,6351500
7/5/2019,131.460007,132.320007,130.809998,132.139999,132.139999,11536600
7/8/2019,132.179993,132.339996,131.279999,131.289993,131.289993,8028900
7/9/2019,131.429993,132.100006,131.160004,131.75,131.75,6633400
7/10/2019,132.940002,133.869995,132.350006,133.830002,133.830002,13920600
7/11/2019,133.580002,133.699997,132.410004,132.699997,132.699997,7535100
7/12/2019,132.889999,133.690002,132.529999,133.529999,133.529999,6309500
7/15/2019,133.179993,133.529999,132.809998,133.529999,133.529999,4026600
7/16/2019,133.179993,133.300003,132.130005,132.399994,132.399994,7966000
7/17/2019,133,134.600006,132.889999,134.580002,134.580002,11288300
7/18/2019,133.830002,136.630005,133.610001,136.479996,136.479996,18448200
7/19/2019,135.449997,136.029999,133.970001,134.470001,134.470001,18079200
7/22/2019,134.559998,134.820007,134.320007,134.449997,134.449997,7570400
